key,image_path,text_offset_x,text_offset_y,anchor_x,anchor_y,motion,fontHeight,fontWeight,charactorSpace,lineSpace,alignment,v_alignment,colorR,colorG,colorB,baseR,baseG,baseB
type,s,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
a05x2,data/event/balloon/a05x2.png,140,78,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a05x2_1_1,data/event/balloon/a05x2.png,140,78,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
a11x2,data/event/balloon/a11x2.png,214,89,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a11x2_1_1,data/event/balloon/a11x2.png,214,89,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a11x2_1_2,data/event/balloon/a11x2.png,214,69,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a11x2_2_2,data/event/balloon/balloon_ed01.png,214,109,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
a15x3,data/event/balloon/a15x3.png,307,102,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_1_1,data/event/balloon/a15x3.png,307,102,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_1_2,data/event/balloon/a15x3.png,307,82,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_2_2,data/event/balloon/balloon_ed01.png,307,122,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_1_3,data/event/balloon/a15x3.png,307,62,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_2_3,data/event/balloon/balloon_ed01.png,307,102,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_3_3,data/event/balloon/balloon_ed01.png,307,142,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
b05x2,data/event/balloon/b05x2.png,124,70,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b05x2_1_1,data/event/balloon/b05x2.png,124,70,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
b11x2,data/event/balloon/b11x2.png,216,81,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b11x2_1_1,data/event/balloon/b11x2.png,216,81,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b11x2_1_2,data/event/balloon/b11x2.png,216,61,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b11x2_2_2,data/event/balloon/balloon_ed01.png,216,101,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
b15x3,data/event/balloon/b15x3.png,275,106,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b15x3_1_1,data/event/balloon/b15x3.png,275,106,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b15x3_1_2,data/event/balloon/b15x3.png,275,86,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
